,País,Año,Registro,Clasificacion,Clase,Modo_de_acción,Grupo_Químico,I.A.,Marca,Concentración,Grupo_importador,Importador,Aduana,Transporte,País_Origen,País_procedencia,Cantidad,Unidad,CIF_US$,CIF_Q,Precio,Fecha,Mes,Grupo_fabricante/Offshore,Fabricante/Offshore,Timbres,Estado,Documento_Imp.,Cantidad_320,Cantidad_-1
116,6425,2018,3,5406,1500,227,9,10,9,10,20,20,2290,3798,1058,972,3024.0,3872,16027.2,119959.91,5.3,2018-08-07,592,373,253,250.0,Líquido,1,3024.0,3024.0
117,6425,2018,3,5406,1500,227,9,10,9,10,20,20,2290,3798,1058,972,2400.0,3872,12240.0,91613.58,5.1,2018-08-10,592,373,253,213.0,Líquido,1,2400.0,2400.0
118,6425,2019,6,5406,1500,227,9,10,9,10,238,238,1264,3798,1058,972,6400.0,3872,24256.0,187494.76,3.79,2019-02-21,579,373,69,318.0,Líquido,1,6400.0,6400.0
119,6425,2019,1,5406,1500,227,1,10,1,10,890,789,2290,3798,702,1192,12800.0,3872,59997.12,459364.35,4.6872750000000005,2019-05-08,818,1074,943,590.0,Líquido,1,12800.0,12800.0
120,6425,2018,1,279,1500,227,108,44,1,1,48,48,633,634,1227,551,2.0,3872,5.0,37.45,2.5,2018-07-09,705,297,67,105.0,Líquido,1,2.0,2.0
121,6425,2018,13,5406,1500,227,108,44,14,10,669,637,2290,3798,702,1192,8800.0,3872,65545.55,485194.38,7.448357954545455,2018-04-26,611,297,228,615.0,Líquido,1,8800.0,8800.0
122,6425,2018,13,5406,1500,227,108,44,14,10,669,637,2290,3798,702,1192,7800.0,3872,54900.0,410919.36,7.038461538461538,2018-08-10,592,297,228,541.0,Líquido,1,7800.0,7800.0
123,6425,2018,13,5406,1500,227,108,44,14,10,669,637,2290,3798,702,1192,1000.0,3872,7480.0,55966.78,7.48,2018-06-11,616,297,228,142.0,Líquido,1,1000.0,1000.0
124,6425,2018,13,5406,1500,227,108,44,14,10,669,637,2290,3798,702,1192,500.0,3872,3740.0,27744.25,7.48,2018-05-09,818,297,228,85.0,Líquido,1,500.0,500.0
125,6425,2018,13,5406,1500,227,108,44,14,10,669,637,2290,3798,702,1192,1200.0,3872,8894.4,65980.88,7.412,2018-05-09,818,297,228,162.0,Líquido,1,1200.0,1200.0
